Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
A,0,0,4,0,1,0,0,0,2,1,4,0,0,0,1,0,4,1,
S,0,0,5,0,3,0,0,0,3,1,5,0,0,0,7,1,7,1,
I,0,0,4,1,2,0,0,0,2,1,4,0,0,0,3,1,4,1,
Q,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,
U,1,0,2,1,0,0,38,2,0,1,2,0,1,0,0,1,2,1,
E,2,0,7,1,9,0,13,3,4,1,7,0,2,0,3,1,6,1,
R,5,0,4,1,9,0,13,4,0,1,4,0,5,0,2,1,5,1,
A,4,0,4,1,5,0,6,5,2,1,4,0,4,0,2,1,2,1,
E,4,0,7,1,10,1,3,5,4,1,7,0,4,0,3,1,6,1,
E,5,0,7,1,0,1,3,5,4,1,7,1,5,0,3,1,6,1,
O,3,0,3,2,0,1,3,5,3,1,3,1,3,0,3,1,3,1,
G,3,0,3,2,0,1,0,5,0,1,2,1,11,1,0,1,2,1,
G,4,1,3,2,0,1,0,5,0,1,2,1,1,1,0,1,2,1,
L,12,2,4,2,2,1,1,5,0,1,4,1,4,1,0,1,4,1,
R,9,3,4,2,3,1,1,5,0,1,6,1,4,1,2,1,5,1,
N,10,4,6,2,0,1,0,5,0,1,4,1,6,1,0,1,4,1,
L,0,4,4,2,3,1,5,6,0,1,4,1,4,1,0,1,4,1,
E,3,4,4,2,0,1,10,7,5,1,2,1,4,1,4,1,6,1,
O,2,4,1,2,0,1,0,7,4,1,3,1,10,2,4,1,3,1,
M,1,4,2,2,0,1,0,7,0,1,2,1,2,3,0,1,2,1,
U,7,5,1,2,0,1,0,7,0,1,2,1,1,3,0,1,2,1,
N,0,5,6,2,0,1,0,7,0,1,4,1,21,4,0,1,4,1,
O,2,5,1,2,0,1,0,7,4,2,3,1,1,4,4,1,3,1,
P,4,6,2,2,0,1,0,7,0,2,2,1,0,4,0,1,2,1,
M,0,6,2,2,0,1,0,7,0,2,2,2,0,4,0,1,2,1,
E,9,7,4,2,0,1,0,7,5,2,2,2,2,4,5,1,6,1,
I,0,7,1,2,5,2,0,7,3,2,5,2,3,4,5,1,4,1,
T,0,7,4,2,0,2,0,7,0,2,3,2,5,5,0,1,4,1,
E,0,7,4,2,0,2,0,7,5,2,2,2,3,5,6,1,6,2,
E,0,7,4,2,0,2,0,7,5,2,2,2,3,5,6,2,2,2,
E,0,7,4,2,0,2,0,7,5,2,2,2,10,6,0,2,2,2,
F,0,7,1,3,0,2,0,7,0,2,0,2,0,6,0,2,1,2,
N,0,7,7,4,4,2,0,7,3,2,3,2,2,6,0,2,4,2,
H,0,7,0,4,0,2,0,7,0,2,1,3,0,6,0,2,1,2,
E,0,7,1,4,0,2,0,7,6,3,1,3,0,6,0,2,2,2,
Y,0,7,0,4,0,2,0,7,0,3,1,4,0,6,0,2,1,2,
T,0,7,2,4,0,2,0,7,8,4,5,4,0,6,0,2,4,2,
A,0,7,1,4,0,2,0,7,3,4,5,4,2,6,5,3,1,2,
D,0,7,0,4,0,2,0,7,6,5,0,4,0,6,4,3,4,2,
K,0,7,0,4,0,2,0,7,0,5,0,4,0,6,7,4,1,2,
A,0,7,1,4,0,2,0,7,3,5,5,4,8,7,0,4,1,2,
I,0,7,0,4,0,2,0,7,15,6,7,4,0,7,4,4,3,2,
O,0,7,0,4,0,2,0,7,0,6,5,5,0,7,0,4,2,2,
I,0,7,0,4,0,2,0,7,0,6,2,5,0,7,9,5,3,2,
U,0,7,0,4,0,2,0,7,0,6,0,5,0,7,0,5,1,3,
I,0,7,0,4,0,2,0,7,0,6,2,6,0,7,0,5,2,3,
A,0,7,1,5,0,2,0,7,0,6,0,6,0,7,0,5,0,3,
W,0,7,0,6,0,2,0,7,0,6,0,6,0,7,0,5,0,3,
R,0,7,1,6,5,2,0,7,6,6,0,6,0,7,11,6,6,3,
Y,0,7,4,7,0,2,0,7,0,6,0,6,0,7,0,6,0,3,
B,0,7,0,7,0,2,0,7,0,6,20,7,0,7,0,6,2,3,
O,0,7,0,7,0,2,0,7,0,6,0,7,0,7,0,6,1,4,
O,0,7,0,7,0,2,0,7,0,7,0,7,0,7,0,6,0,4,
R,0,7,0,7,6,2,0,7,0,7,0,7,0,7,12,7,7,4,
T,0,7,0,7,6,3,0,7,0,7,0,7,0,7,0,7,6,4,
D,0,7,0,7,7,4,0,7,0,7,0,7,0,7,0,7,2,4,
C,0,7,0,7,8,5,0,7,0,7,0,7,0,7,0,7,3,4,
L,0,7,0,7,11,6,0,7,0,7,0,7,0,7,0,7,5,4,
I,0,7,0,7,0,6,0,7,0,7,0,7,0,7,0,7,0,5,
X,0,7,0,7,0,6,0,7,0,7,0,7,0,7,0,7,0,6,
N,0,7,0,7,0,6,0,7,0,7,0,7,0,7,0,7,1,7,
A,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,
